biblioteca,slug,status,category,eol_label,eoas_label,discontinued,current_cycle,current_latest_version,current_eol,json.name,json.aliases,json.label,json.category,json.tags,json.versionCommand,json.identifiers,json.labels.eoas,json.labels.discontinued,json.labels.eol,json.labels.eoes,json.links.icon,json.links.html,json.links.releasePolicy,json.releases
jest,jest,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
lodash,lodash,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
axios,axios,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
express,express,,framework,Security Support,,,5,5.1.2000,,express,[],Express,framework,"['framework', 'herodevs', 'javascript-runtime']",,[],,,Security Support,Commercial Support,https://cdn.jsdelivr.net/npm/simple-icons/icons/express.svg,https://endoflife.date/express,https://expressjs.com/en/support/,"[{'name': '5', 'codename': None, 'label': '5', 'releaseDate': '2024-09-09', 'isLts': False, 'ltsFrom': None, 'isEol': False, 'eolFrom': None, 'isEoes': None, 'eoesFrom': None, 'isMaintained': True, 'latest': {'name': '5.1.0', 'date': '2025-03-28', 'link': 'https://github.com/expressjs/express/releases/tag/v5.1.0'}, 'custom': None}, {'name': '4', 'codename': None, 'label': '4', 'releaseDate': '2014-04-09', 'isLts': False, 'ltsFrom': None, 'isEol': False, 'eolFrom': None, 'isEoes': None, 'eoesFrom': None, 'isMaintained': True, 'latest': {'name': '4.21.2', 'date': '2024-12-05', 'link': 'https://github.com/expressjs/express/releases/tag/4.21.2'}, 'custom': None}, {'name': '3', 'codename': None, 'label': '3', 'releaseDate': '2012-10-23', 'isLts': False, 'ltsFrom': None, 'isEol': True, 'eolFrom': '2015-07-05', 'isEoes': False, 'eoesFrom': None, 'isMaintained': True, 'latest': {'name': '3.21.2', 'date': '2015-07-31', 'link': 'https://github.com/expressjs/express/releases/tag/3.21.2'}, 'custom': None}, {'name': '2', 'codename': None, 'label': '2', 'releaseDate': '2011-03-17', 'isLts': False, 'ltsFrom': None, 'isEol': True, 'eolFrom': '2012-07-01', 'isEoes': None, 'eoesFrom': None, 'isMaintained': False, 'latest': {'name': '2.5.11', 'date': '2012-06-29', 'link': 'https://github.com/expressjs/express/releases/tag/2.5.11'}, 'custom': None}, {'name': '1', 'codename': None, 'label': '1', 'releaseDate': '2010-11-16', 'isLts': False, 'ltsFrom': None, 'isEol': True, 'eolFrom': '2011-03-01', 'isEoes': None, 'eoesFrom': None, 'isMaintained': False, 'latest': {'name': '1.0.9', 'date': '2011-03-23', 'link': 'https://github.com/expressjs/express/releases/tag/1.0.9'}, 'custom': None}]"
moment,moment,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
react,react,,framework,Security Support,Active Support,,19,19.1.2000,,react,[],React,framework,"['framework', 'javascript-runtime', 'meta']",,"[{'type': 'purl', 'id': 'pkg:github/facebook/react'}, {'type': 'purl', 'id': 'pkg:npm/react'}]",Active Support,,Security Support,,https://cdn.jsdelivr.net/npm/simple-icons/icons/react.svg,https://endoflife.date/react,https://react.dev/community/versioning-policy,"[{'name': '19', 'codename': None, 'label': '19', 'releaseDate': '2024-12-05', 'isLts': False, 'ltsFrom': None, 'isEoas': False, 'eoasFrom': None, 'isEol': False, 'eolFrom': None, 'isMaintained': True, 'latest': {'name': '19.1.0', 'date': '2025-03-28', 'link': 'https://github.com/facebook/react/releases/tag/v19.1.0'}, 'custom': None}, {'name': '18', 'codename': None, 'label': '18', 'releaseDate': '2022-03-29', 'isLts': False, 'ltsFrom': None, 'isEoas': True, 'eoasFrom': '2024-12-05', 'isEol': False, 'eolFrom': None, 'isMaintained': True, 'latest': {'name': '18.3.1', 'date': '2024-04-26', 'link': 'https://github.com/facebook/react/releases/tag/v18.3.1'}, 'custom': None}, {'name': '17', 'codename': None, 'label': '17', 'releaseDate': '2020-10-20', 'isLts': False, 'ltsFrom': None, 'isEoas': True, 'eoasFrom': '2022-03-29', 'isEol': False, 'eolFrom': None, 'isMaintained': True, 'latest': {'name': '17.0.2', 'date': '2021-03-22', 'link': 'https://github.com/facebook/react/releases/tag/v17.0.2'}, 'custom': None}, {'name': '16', 'codename': None, 'label': '16', 'releaseDate': '2017-09-26', 'isLts': False, 'ltsFrom': None, 'isEoas': True, 'eoasFrom': '2020-10-20', 'isEol': False, 'eolFrom': None, 'isMaintained': True, 'latest': {'name': '16.14.0', 'date': '2020-10-14', 'link': 'https://github.com/facebook/react/releases/tag/v16.14.0'}, 'custom': None}, {'name': '15', 'codename': None, 'label': '15', 'releaseDate': '2016-04-07', 'isLts': False, 'ltsFrom': None, 'isEoas': True, 'eoasFrom': '2020-10-14', 'isEol': False, 'eolFrom': None, 'isMaintained': True, 'latest': {'name': '15.7.0', 'date': '2020-10-14', 'link': 'https://github.com/facebook/react/releases/tag/v15.7.0'}, 'custom': None}]"
webpack,webpack,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
babel,babel,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
typescript,typescript,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
tailwindcss,tailwindcss,erro: 'int' object has no attribute 'lower',,,,,,,,,,,,,,,,,,,,,,
